tipo_persona_id,sexo_victima
406.0,No corresponde
407.0,No corresponde
408.0,No corresponde
409.0,No corresponde
410.0,No corresponde
13976.0,Masculino
363.0,No corresponde
13977.0,Masculino
364.0,No corresponde
365.0,No corresponde
13978.0,Masculino
366.0,No corresponde
13979.0,Masculino
367.0,No corresponde
368.0,No corresponde
13980.0,Masculino
369.0,No corresponde
13981.0,Masculino
370.0,No corresponde
13982.0,Masculino
371.0,No corresponde
13983.0,Masculino
372.0,No corresponde
13984.0,Masculino
373.0,No corresponde
13985.0,Masculino
374.0,No corresponde
375.0,No corresponde
13986.0,Femenino
376.0,No corresponde
13987.0,Masculino
377.0,No corresponde
13988.0,Masculino
378.0,No corresponde
21113.0,Masculino
379.0,No corresponde
13989.0,Masculino
380.0,No corresponde
13990.0,Masculino
381.0,No corresponde
13991.0,Masculino
382.0,No corresponde
13992.0,Masculino
411.0,No corresponde
13995.0,Masculino
412.0,No corresponde
13996.0,Masculino
413.0,No corresponde
13997.0,Masculino
414.0,No corresponde
13998.0,Masculino
415.0,No corresponde
13999.0,Masculino
696.0,No corresponde
697.0,No corresponde
14228.0,Masculino
416.0,No corresponde
417.0,No corresponde
418.0,No corresponde
419.0,No corresponde
14000.0,Masculino
420.0,No corresponde
14001.0,Masculino
421.0,No corresponde
422.0,No corresponde
14002.0,Masculino
423.0,No corresponde
14003.0,Masculino
424.0,No corresponde
14004.0,Masculino
425.0,No corresponde
14005.0,Masculino
426.0,No corresponde
14006.0,Masculino
427.0,No corresponde
14007.0,Masculino
428.0,No corresponde
14008.0,Femenino
429.0,No corresponde
14009.0,Masculino
437.0,No corresponde
14013.0,Femenino
430.0,No corresponde
431.0,No corresponde
432.0,No corresponde
433.0,No corresponde
14010.0,Masculino
434.0,No corresponde
435.0,No corresponde
14011.0,Femenino
436.0,No corresponde
14012.0,Masculino
438.0,No corresponde
14014.0,Masculino
439.0,No corresponde
14015.0,Masculino
440.0,No corresponde
14016.0,Masculino
441.0,No corresponde
14017.0,Masculino
442.0,No corresponde
443.0,No corresponde
444.0,No corresponde
445.0,No corresponde
14018.0,Masculino
446.0,No corresponde
14019.0,Masculino
447.0,No corresponde
14020.0,Masculino
448.0,No corresponde
14021.0,Masculino
449.0,No corresponde
14022.0,Masculino
450.0,No corresponde
14023.0,Masculino
451.0,No corresponde
14024.0,Masculino
452.0,No corresponde
14025.0,Femenino
453.0,No corresponde
14026.0,Masculino
454.0,No corresponde
14027.0,Masculino
455.0,No corresponde
14028.0,Femenino
456.0,No corresponde
14029.0,Masculino
457.0,No corresponde
14030.0,Masculino
458.0,No corresponde
14031.0,Masculino
459.0,No corresponde
14032.0,Masculino
460.0,No corresponde
14033.0,Masculino
461.0,No corresponde
14034.0,Masculino
462.0,No corresponde
14035.0,Masculino
463.0,No corresponde
14036.0,Masculino
464.0,No corresponde
14037.0,Femenino
14038.0,Femenino
465.0,No corresponde
14039.0,Masculino
466.0,No corresponde
14040.0,Masculino
467.0,No corresponde
14041.0,Femenino
468.0,No corresponde
469.0,No corresponde
14042.0,Femenino
470.0,No corresponde
471.0,No corresponde
14043.0,Femenino
472.0,No corresponde
14044.0,Femenino
473.0,No corresponde
474.0,No corresponde
14045.0,Masculino
475.0,No corresponde
14048.0,Masculino
476.0,No corresponde
14049.0,Masculino
477.0,No corresponde
21126.0,Masculino
478.0,No corresponde
14050.0,Masculino
479.0,No corresponde
14051.0,Masculino
480.0,No corresponde
14052.0,Masculino
481.0,No corresponde
14053.0,Masculino
482.0,No corresponde
14054.0,Masculino
483.0,No corresponde
14055.0,Masculino
484.0,No corresponde
14056.0,Masculino
485.0,No corresponde
14057.0,Masculino
486.0,No corresponde
14058.0,Femenino
487.0,No corresponde
14059.0,Masculino
488.0,No corresponde
14060.0,Femenino
489.0,No corresponde
490.0,No corresponde
491.0,No corresponde
492.0,No corresponde
493.0,No corresponde
494.0,No corresponde
495.0,No corresponde
14061.0,Masculino
496.0,No corresponde
14062.0,Masculino
497.0,No corresponde
14063.0,Masculino
