tipo_persona_id,tipo_lugar,sexo_victima
319.0,Vía pública,
13931.0,Vía pública,
320.0,Vía pública,
13932.0,Vía pública,
321.0,Vía pública,
13933.0,Vía pública,
322.0,Vía pública,
13934.0,Vía pública,
323.0,Vía pública,
13935.0,Vía pública,
324.0,Vía pública,
13936.0,Vía pública,
325.0,Vía pública,
13937.0,Vía pública,
326.0,Vía pública,
13938.0,Vía pública,
327.0,Vía pública,
13939.0,Vía pública,
328.0,Vía pública,
13940.0,Vía pública,
329.0,Vía pública,
13941.0,Vía pública,
330.0,Vía pública,
13942.0,Vía pública,
331.0,Vía pública,
13943.0,Vía pública,
332.0,Vía pública,
13944.0,Vía pública,
333.0,Vía pública,
13945.0,Vía pública,
334.0,Domicilio particular,
13946.0,Domicilio particular,
335.0,Vía pública,
13947.0,Vía pública,
13582.0,Domicilio particular,
13948.0,Domicilio particular,
336.0,Domicilio particular,
13949.0,Domicilio particular,
337.0,Otro lugar,
13950.0,Otro lugar,
338.0,Domicilio particular,
13951.0,Domicilio particular,
339.0,Vía pública,
13952.0,Vía pública,
340.0,Vía pública,
13953.0,Vía pública,
341.0,Vía pública,
13954.0,Vía pública,
342.0,Vía pública,
13955.0,Vía pública,
343.0,Vía pública,
13956.0,Vía pública,
344.0,Vía pública,
13957.0,Vía pública,
345.0,Otro lugar,
13958.0,Otro lugar,
346.0,Vía pública,
13959.0,Vía pública,
347.0,Domicilio particular,
13960.0,Domicilio particular,
13961.0,Domicilio particular,
348.0,Vía pública,
13962.0,Vía pública,
349.0,Vía pública,
13963.0,Vía pública,
350.0,Domicilio particular,
13964.0,Domicilio particular,
352.0,Domicilio particular,
353.0,Domicilio particular,
13966.0,Domicilio particular,
351.0,Vía pública,
13965.0,Vía pública,
354.0,Vía pública,
13967.0,Vía pública,
13575.0,Otro lugar,
13968.0,Otro lugar,
355.0,Vía pública,
356.0,Vía pública,
13969.0,Vía pública,
357.0,Vía pública,
13970.0,Vía pública,
358.0,Vía pública,
13971.0,Vía pública,
398.0,Vía pública,
399.0,Vía pública,
400.0,Vía pública,
401.0,Vía pública,
402.0,Vía pública,
403.0,Vía pública,
13972.0,Vía pública,
359.0,Vía pública,
13973.0,Vía pública,
360.0,Otro lugar,
361.0,Otro lugar,
13974.0,Otro lugar,
362.0,Domicilio particular,
13975.0,Domicilio particular,
404.0,Vía pública,
405.0,Vía pública,
406.0,Vía pública,
407.0,Vía pública,
408.0,Vía pública,
409.0,Vía pública,
410.0,Vía pública,
13976.0,Vía pública,
363.0,Vía pública,
13977.0,Vía pública,
364.0,Comercio,
365.0,Comercio,
13978.0,Comercio,
366.0,Domicilio particular,
13979.0,Domicilio particular,
367.0,Vía pública,
368.0,Vía pública,
13980.0,Vía pública,
369.0,Sin determinar,
13981.0,Sin determinar,
370.0,Sin determinar,
13982.0,Sin determinar,
371.0,Vía pública,
13983.0,Vía pública,
372.0,Vía pública,
13984.0,Vía pública,
373.0,Domicilio particular,
13985.0,Domicilio particular,
374.0,Domicilio particular,
375.0,Domicilio particular,
13986.0,Domicilio particular,
376.0,Vía pública,
13987.0,Vía pública,
377.0,Vía pública,
13988.0,Vía pública,
378.0,Vía pública,
21113.0,Vía pública,
379.0,Vía pública,
13989.0,Vía pública,
380.0,Domicilio particular,
13990.0,Domicilio particular,
381.0,Vía pública,
13991.0,Vía pública,
382.0,Vía pública,
13992.0,Vía pública,
411.0,Vía pública,
13995.0,Vía pública,
412.0,Domicilio particular,
13996.0,Domicilio particular,
413.0,Vía pública,
13997.0,Vía pública,
414.0,Domicilio particular,
13998.0,Domicilio particular,
415.0,Comercio,
13999.0,Comercio,
696.0,Vía pública,
697.0,Vía pública,
14228.0,Vía pública,
416.0,Vía pública,
417.0,Vía pública,
418.0,Vía pública,
419.0,Vía pública,
14000.0,Vía pública,
420.0,Vía pública,
14001.0,Vía pública,
421.0,Vía pública,
422.0,Vía pública,
14002.0,Vía pública,
423.0,Vía pública,
14003.0,Vía pública,
424.0,Domicilio particular,
14004.0,Domicilio particular,
425.0,Domicilio particular,
14005.0,Domicilio particular,
426.0,Vía pública,
14006.0,Vía pública,
427.0,Domicilio particular,
14007.0,Domicilio particular,
428.0,Domicilio particular,
14008.0,Domicilio particular,
429.0,Vía pública,
14009.0,Vía pública,
437.0,Vía pública,
14013.0,Vía pública,
430.0,Domicilio particular,
431.0,Domicilio particular,
432.0,Domicilio particular,
433.0,Domicilio particular,
14010.0,Domicilio particular,
434.0,Vía pública,
435.0,Vía pública,
14011.0,Vía pública,
436.0,Vía pública,
14012.0,Vía pública,
438.0,Vía pública,
14014.0,Vía pública,
439.0,Vía pública,
14015.0,Vía pública,
440.0,Vía pública,
14016.0,Vía pública,
441.0,Comercio,
14017.0,Comercio,
442.0,Vía pública,
443.0,Vía pública,
444.0,Vía pública,
445.0,Vía pública,
14018.0,Vía pública,
446.0,Comercio,
14019.0,Comercio,
447.0,Domicilio particular,
14020.0,Domicilio particular,
448.0,Domicilio particular,
14021.0,Domicilio particular,
449.0,Domicilio particular,
14022.0,Domicilio particular,
450.0,Domicilio particular,
14023.0,Domicilio particular,
451.0,Vía pública,
14024.0,Vía pública,
452.0,Vía pública,
14025.0,Vía pública,
453.0,Vía pública,
14026.0,Vía pública,
454.0,Vía pública,
14027.0,Vía pública,
455.0,Domicilio particular,
14028.0,Domicilio particular,
456.0,Domicilio particular,
14029.0,Domicilio particular,
457.0,Vía pública,
14030.0,Vía pública,
458.0,Vía pública,
14031.0,Vía pública,
459.0,Vía pública,
14032.0,Vía pública,
460.0,Vía pública,
14033.0,Vía pública,
461.0,Vía pública,
14034.0,Vía pública,
462.0,Vía pública,
14035.0,Vía pública,
463.0,Vía pública,
14036.0,Vía pública,
464.0,Vía pública,
14037.0,Vía pública,
14038.0,Vía pública,
465.0,Vía pública,
14039.0,Vía pública,
466.0,Carcel o comisaría,
14040.0,Carcel o comisaría,
467.0,Domicilio particular,
14041.0,Domicilio particular,
468.0,Vía pública,
469.0,Vía pública,
14042.0,Vía pública,
470.0,Domicilio particular,
471.0,Domicilio particular,
14043.0,Domicilio particular,
472.0,Domicilio particular,
14044.0,Domicilio particular,
473.0,Domicilio particular,
474.0,Domicilio particular,
14045.0,Domicilio particular,
475.0,Vía pública,
14048.0,Vía pública,
476.0,Domicilio particular,
14049.0,Domicilio particular,
477.0,Vía pública,
21126.0,Vía pública,
478.0,Comercio,
14050.0,Comercio,
479.0,Vía pública,
14051.0,Vía pública,
480.0,Vía pública,
14052.0,Vía pública,
481.0,Carcel o comisaría,
14053.0,Carcel o comisaría,
482.0,Vía pública,
14054.0,Vía pública,
483.0,Domicilio particular,
14055.0,Domicilio particular,
484.0,Domicilio particular,
14056.0,Domicilio particular,
485.0,Vía pública,
14057.0,Vía pública,
486.0,Vía pública,
14058.0,Vía pública,
487.0,Vía pública,
14059.0,Vía pública,
488.0,Domicilio particular,
14060.0,Domicilio particular,
489.0,Vía pública,
490.0,Vía pública,
491.0,Vía pública,
492.0,Vía pública,
493.0,Vía pública,
494.0,Vía pública,
495.0,Vía pública,
14061.0,Vía pública,
496.0,Vía pública,
14062.0,Vía pública,
497.0,Domicilio particular,
14063.0,Domicilio particular,
498.0,Domicilio particular,
499.0,Domicilio particular,
500.0,Domicilio particular,
14064.0,Domicilio particular,
