tipo_persona_id,tipo_lugar,sexo_inculpado,Id_hecho
13981.0,5.0,,12032
370.0,5.0,,12033
13982.0,5.0,,12033
371.0,6.0,,12034
13983.0,6.0,,12034
372.0,6.0,,12035
13984.0,6.0,,12035
373.0,2.0,,12036
13985.0,2.0,,12036
374.0,2.0,,12037
375.0,2.0,,12037
13986.0,2.0,,12037
376.0,6.0,,12038
13987.0,6.0,,12038
377.0,6.0,,12039
13988.0,6.0,,12039
378.0,6.0,,12040
21113.0,6.0,,12040
379.0,6.0,,12041
13989.0,6.0,,12041
380.0,2.0,,12042
13990.0,2.0,,12042
381.0,6.0,,12043
13991.0,6.0,,12043
382.0,6.0,,12045
13992.0,6.0,,12045
411.0,6.0,,12052
13995.0,6.0,,12052
412.0,2.0,,12053
13996.0,2.0,,12053
413.0,6.0,,12054
13997.0,6.0,,12054
414.0,2.0,,12056
13998.0,2.0,,12056
415.0,1.0,,12057
13999.0,1.0,,12057
696.0,6.0,,12058
697.0,6.0,,12058
14228.0,6.0,,12058
416.0,6.0,,12060
417.0,6.0,,12060
418.0,6.0,,12060
419.0,6.0,,12060
14000.0,6.0,,12060
420.0,6.0,,12062
14001.0,6.0,,12062
421.0,6.0,,12063
422.0,6.0,,12063
14002.0,6.0,,12063
423.0,6.0,,12064
14003.0,6.0,,12064
424.0,2.0,,12065
14004.0,2.0,,12065
425.0,2.0,,12080
14005.0,2.0,,12080
426.0,6.0,,12091
14006.0,6.0,,12091
427.0,2.0,,12092
14007.0,2.0,,12092
428.0,2.0,,12093
14008.0,2.0,,12093
429.0,6.0,,12094
14009.0,6.0,,12094
437.0,6.0,,12100
14013.0,6.0,,12100
430.0,2.0,,12105
431.0,2.0,,12105
432.0,2.0,,12105
433.0,2.0,,12105
14010.0,2.0,,12105
434.0,6.0,,12109
435.0,6.0,,12109
14011.0,6.0,,12109
436.0,6.0,,12116
14012.0,6.0,,12116
438.0,6.0,,12140
14014.0,6.0,,12140
439.0,6.0,,12145
14015.0,6.0,,12145
440.0,6.0,,12146
14016.0,6.0,,12146
441.0,1.0,,12147
14017.0,1.0,,12147
442.0,6.0,,12148
443.0,6.0,,12148
444.0,6.0,,12148
445.0,6.0,,12148
14018.0,6.0,,12148
446.0,1.0,,12149
14019.0,1.0,,12149
447.0,2.0,,12150
14020.0,2.0,,12150
448.0,2.0,,12161
14021.0,2.0,,12161
449.0,2.0,,12172
14022.0,2.0,,12172
450.0,2.0,,12173
14023.0,2.0,,12173
451.0,6.0,,12174
14024.0,6.0,,12174
452.0,6.0,,12175
14025.0,6.0,,12175
453.0,6.0,,12176
14026.0,6.0,,12176
454.0,6.0,,12177
14027.0,6.0,,12177
455.0,2.0,,12178
14028.0,2.0,,12178
456.0,2.0,,12179
14029.0,2.0,,12179
457.0,6.0,,12180
14030.0,6.0,,12180
458.0,6.0,,12181
14031.0,6.0,,12181
459.0,6.0,,12182
14032.0,6.0,,12182
460.0,6.0,,12183
14033.0,6.0,,12183
461.0,6.0,,12184
14034.0,6.0,,12184
462.0,6.0,,12186
14035.0,6.0,,12186
463.0,6.0,,12187
14036.0,6.0,,12187
464.0,6.0,,12188
14037.0,6.0,,12188
14038.0,6.0,,12188
465.0,6.0,,12189
14039.0,6.0,,12189
466.0,0.0,,12190
14040.0,0.0,,12190
467.0,2.0,,12191
14041.0,2.0,,12191
468.0,6.0,,12192
469.0,6.0,,12192
14042.0,6.0,,12192
470.0,2.0,,12193
471.0,2.0,,12193
14043.0,2.0,,12193
472.0,2.0,,12205
14044.0,2.0,,12205
473.0,2.0,,12215
474.0,2.0,,12215
14045.0,2.0,,12215
475.0,6.0,,12217
14048.0,6.0,,12217
476.0,2.0,,12218
14049.0,2.0,,12218
477.0,6.0,,12219
21126.0,6.0,,12219
478.0,1.0,,12220
14050.0,1.0,,12220
479.0,6.0,,12221
14051.0,6.0,,12221
480.0,6.0,,12222
14052.0,6.0,,12222
481.0,0.0,,12223
14053.0,0.0,,12223
482.0,6.0,,12224
14054.0,6.0,,12224
483.0,2.0,,12225
14055.0,2.0,,12225
484.0,2.0,,12226
14056.0,2.0,,12226
485.0,6.0,,12227
14057.0,6.0,,12227
486.0,6.0,,12228
14058.0,6.0,,12228
487.0,6.0,,12229
14059.0,6.0,,12229
488.0,2.0,,12234
14060.0,2.0,,12234
489.0,6.0,,12235
490.0,6.0,,12235
491.0,6.0,,12235
492.0,6.0,,12235
493.0,6.0,,12235
494.0,6.0,,12235
495.0,6.0,,12235
