fecha_hecho,tipo_persona_id,localidad
348.0,344.0,Rosario
348.0,13957.0,Rosario
527.0,345.0,Granadero Baigorria
527.0,13958.0,Granadero Baigorria
766.0,346.0,Villa Gobernador Gálvez
766.0,13959.0,Villa Gobernador Gálvez
1238.0,347.0,Rosario
1238.0,13960.0,Rosario
1238.0,13961.0,Rosario
1238.0,348.0,Rafaela
1238.0,13962.0,Rafaela
1622.0,349.0,Villa Constitución
1622.0,13963.0,Villa Constitución
1408.0,350.0,Florencia
1408.0,13964.0,Florencia
55.0,352.0,Cachi
55.0,353.0,Cachi
55.0,13966.0,Cachi
1687.0,351.0,Tartagal
1687.0,13965.0,Tartagal
353.0,354.0,Tartagal
353.0,13967.0,Tartagal
830.0,13575.0,Coronel Moldes
830.0,13968.0,Coronel Moldes
830.0,355.0,Colonia Santa Rosa
830.0,356.0,Colonia Santa Rosa
830.0,13969.0,Colonia Santa Rosa
889.0,357.0,San Ramón de la Nueva Orán (Est. Orán)
889.0,13970.0,San Ramón de la Nueva Orán (Est. Orán)
1125.0,358.0,El Quebrachal
1125.0,13971.0,El Quebrachal
1298.0,398.0,San Ramón de la Nueva Orán (Est. Orán)
1298.0,399.0,San Ramón de la Nueva Orán (Est. Orán)
1298.0,400.0,San Ramón de la Nueva Orán (Est. Orán)
1298.0,401.0,San Ramón de la Nueva Orán (Est. Orán)
1298.0,402.0,San Ramón de la Nueva Orán (Est. Orán)
1298.0,403.0,San Ramón de la Nueva Orán (Est. Orán)
1298.0,13972.0,San Ramón de la Nueva Orán (Est. Orán)
5.0,359.0,Rosario de la Frontera
5.0,13973.0,Rosario de la Frontera
5.0,360.0,Aguaray
5.0,361.0,Aguaray
5.0,13974.0,Aguaray
1697.0,362.0,San Ramón de la Nueva Orán (Est. Orán)
1697.0,13975.0,San Ramón de la Nueva Orán (Est. Orán)
303.0,404.0,San Ramón de la Nueva Orán (Est. Orán)
303.0,405.0,San Ramón de la Nueva Orán (Est. Orán)
303.0,406.0,San Ramón de la Nueva Orán (Est. Orán)
303.0,407.0,San Ramón de la Nueva Orán (Est. Orán)
303.0,408.0,San Ramón de la Nueva Orán (Est. Orán)
303.0,409.0,San Ramón de la Nueva Orán (Est. Orán)
303.0,410.0,San Ramón de la Nueva Orán (Est. Orán)
303.0,13976.0,San Ramón de la Nueva Orán (Est. Orán)
542.0,363.0,Salta
542.0,13977.0,Salta
1075.0,364.0,Salta
1075.0,365.0,Salta
1075.0,13978.0,Salta
1423.0,366.0,Salta
1423.0,13979.0,Salta
1627.0,367.0,Santa Fe
1627.0,368.0,Santa Fe
1627.0,13980.0,Santa Fe
174.0,369.0,Santa Fe
174.0,13981.0,Santa Fe
1185.0,370.0,Santo Tomé
1185.0,13982.0,Santo Tomé
55.0,371.0,Villa Gobernador Gálvez
55.0,13983.0,Villa Gobernador Gálvez
1508.0,372.0,Rosario
1508.0,13984.0,Rosario
1687.0,373.0,Pérez
1687.0,13985.0,Pérez
1747.0,374.0,Rosario
1747.0,375.0,Rosario
1747.0,13986.0,Rosario
1448.0,376.0,Rosario
1448.0,13987.0,Rosario
472.0,377.0,Villa Gobernador Gálvez
472.0,13988.0,Villa Gobernador Gálvez
1008.0,378.0,Rosario
1008.0,21113.0,Rosario
1125.0,379.0,Rosario
1125.0,13989.0,Rosario
1298.0,380.0,Rosario
1298.0,13990.0,Rosario
1175.0,381.0,Rafaela
1175.0,13991.0,Rafaela
711.0,382.0,Garabato
711.0,13992.0,Garabato
646.0,411.0,Comodoro Rivadavia 
646.0,13995.0,Comodoro Rivadavia 
1180.0,412.0,Comodoro Rivadavia 
1180.0,13996.0,Comodoro Rivadavia 
268.0,413.0,Apóstoles
268.0,13997.0,Apóstoles
766.0,414.0,Epuyén
766.0,13998.0,Epuyén
1747.0,415.0,Comodoro Rivadavia 
1747.0,13999.0,Comodoro Rivadavia 
835.0,696.0,Esperanza 
