tipo_persona_id,motivo_origen_registro,Id_hecho
13862.0,Denuncia particular,11880
244.0,Denuncia particular,11881
245.0,Denuncia particular,11881
13863.0,Denuncia particular,11881
246.0,Denuncia particular,11882
13864.0,Denuncia particular,11882
247.0,Denuncia particular,11883
13865.0,Denuncia particular,11883
397.0,Denuncia particular,11884
13866.0,Denuncia particular,11884
248.0,Intervención policial,11885
13867.0,Intervención policial,11885
249.0,Intervención policial,11886
250.0,Intervención policial,11886
13868.0,Intervención policial,11886
251.0,Intervención policial,11888
13869.0,Intervención policial,11888
252.0,Denuncia particular,11892
13870.0,Denuncia particular,11892
253.0,Denuncia particular,11893
13871.0,Denuncia particular,11893
254.0,Denuncia particular,11894
13872.0,Denuncia particular,11894
255.0,Denuncia particular,11895
13873.0,Denuncia particular,11895
256.0,Denuncia particular,11896
257.0,Denuncia particular,11896
13874.0,Denuncia particular,11896
258.0,Denuncia particular,11897
13875.0,Denuncia particular,11897
259.0,Denuncia particular,11898
13876.0,Denuncia particular,11898
260.0,Denuncia particular,11899
13877.0,Denuncia particular,11899
261.0,Intervención policial,11900
13878.0,Intervención policial,11900
262.0,Denuncia particular,11901
263.0,Denuncia particular,11901
13879.0,Denuncia particular,11901
264.0,Denuncia particular,11902
13880.0,Denuncia particular,11902
265.0,Intervención policial,11903
13881.0,Intervención policial,11903
266.0,Denuncia particular,11904
13882.0,Denuncia particular,11904
267.0,Intervención policial,11905
268.0,Intervención policial,11905
13883.0,Intervención policial,11905
269.0,Intervención policial,11906
13884.0,Intervención policial,11906
270.0,Denuncia particular,11907
13885.0,Denuncia particular,11907
271.0,Denuncia particular,11908
13886.0,Denuncia particular,11908
272.0,Intervención policial,11909
13887.0,Intervención policial,11909
273.0,Intervención policial,11910
13888.0,Intervención policial,11910
274.0,Intervención policial,11911
13889.0,Intervención policial,11911
275.0,Intervención policial,11912
13890.0,Intervención policial,11912
276.0,Intervención policial,11913
13891.0,Intervención policial,11913
11365.0,Intervención policial,11914
13892.0,Intervención policial,11914
277.0,Intervención policial,11915
13893.0,Intervención policial,11915
278.0,Denuncia particular,11916
13894.0,Denuncia particular,11916
279.0,Intervención policial,11917
280.0,Intervención policial,11917
13895.0,Intervención policial,11917
281.0,Intervención policial,11918
13896.0,Intervención policial,11918
282.0,Denuncia particular,11919
13897.0,Denuncia particular,11919
283.0,Intervención policial,11920
284.0,Intervención policial,11920
285.0,Intervención policial,11920
13898.0,Intervención policial,11920
286.0,Intervención policial,11921
13899.0,Intervención policial,11921
287.0,Intervención policial,11925
13900.0,Intervención policial,11925
288.0,Intervención policial,11926
13901.0,Intervención policial,11926
289.0,Intervención policial,11927
13902.0,Intervención policial,11927
290.0,Intervención policial,11928
13903.0,Intervención policial,11928
13589.0,Intervención policial,11929
13904.0,Intervención policial,11929
291.0,Intervención policial,11930
292.0,Intervención policial,11930
13905.0,Intervención policial,11930
293.0,Intervención policial,11931
13906.0,Intervención policial,11931
294.0,Intervención policial,11934
13907.0,Intervención policial,11934
295.0,Intervención policial,11935
13908.0,Intervención policial,11935
296.0,Intervención policial,11936
13909.0,Intervención policial,11936
297.0,Intervención policial,11937
13910.0,Intervención policial,11937
